ID	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	738	282	263	355	498	435	610	433	468	305	327	377	215	282	210	266
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella	682	247	229	310	453	356	524	369	401	258	287	328	185	255	173	237
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella anguillarum	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella hoshinae	110	33	41	57	86	58	95	74	69	30	43	50	34	33	35	36
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella ictaluri	68	23	16	28	74	44	51	44	41	41	38	31	22	37	12	28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella piscicida	9	8	9	11	8	8	13	6	8	2	11	7	4	2	2	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella sp. EA181011	6	3	6	0.0	1	3	2	2	0.0	8	2	0.0	3	1	2	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Edwardsiella|s__Edwardsiella tarda	169	50	44	51	70	58	93	86	78	53	84	80	40	45	30	47
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia	33	31	22	34	31	45	55	43	47	33	31	36	16	20	26	24
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia alvei	28	27	15	25	22	28	36	26	37	28	26	31	15	10	14	16
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia sp. CBA7124	0.0	1	0.0	0.0	1	1	4	2	1	0.0	0.0	1	0.0	1	2	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Obesumbacterium	3	3	3	6	9	20	20	12	10	3	2	8	7	5	7	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Obesumbacterium|s__Obesumbacterium proteus	3	3	3	6	9	20	20	12	10	3	2	8	7	5	7	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	396	159	179	294	269	439	554	421	440	357	201	223	141	208	141	178
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus	6	1	3	5	6	7	6	8	12	2	4	4	5	3	5	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Arsenophonus|s__Candidatus Arsenophonus lipoptenae	6	1	3	5	6	7	6	8	12	2	4	4	5	3	5	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	79	44	46	85	60	78	131	91	77	40	39	41	41	54	26	28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella morganii	79	44	46	85	60	78	131	91	77	40	39	41	41	54	26	28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Photorhabdus	50	18	26	33	33	58	57	33	48	23	34	27	21	20	15	29
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Photorhabdus|s__Photorhabdus asymbiotica	17	3	5	14	11	10	20	8	12	3	14	7	3	7	7	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Photorhabdus|s__Photorhabdus laumondii	0.0	1	2	0.0	2	5	3	1	2	2	3	1	0.0	0.0	0.0	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Photorhabdus|s__Photorhabdus thracensis	20	4	9	8	9	19	7	6	12	7	8	9	11	6	1	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus	49	19	25	35	59	104	86	121	75	174	30	45	17	27	43	20
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus mirabilis	39	17	21	29	51	89	76	112	61	174	23	39	15	22	42	15
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus vulgaris	9	1	2	1	8	13	9	7	11	0.0	7	1	1	3	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia	126	38	39	61	49	76	139	81	89	79	44	41	20	42	26	49
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia alcalifaciens	8	4	4	6	5	6	13	5	8	7	8	7	1	1	3	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia heimbachae	17	5	4	7	4	11	10	6	13	6	10	7	2	3	0.0	10
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia rettgeri	21	6	11	5	7	13	16	17	12	5	11	7	3	5	5	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia sneebia	33	2	3	2	9	3	5	4	6	1	4	2	0.0	3	0.0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia sp. WCHPr000369	17	1	2	8	4	11	9	3	11	5	4	3	5	7	3	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia stuartii	21	16	11	32	18	25	72	42	28	49	6	12	7	22	11	16
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus	85	38	37	71	62	106	119	81	132	37	46	64	36	62	23	51
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus bovienii	18	9	11	29	22	26	38	20	32	11	11	21	13	21	4	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus doucetiae	33	9	6	13	15	29	27	18	27	6	10	10	6	14	2	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus hominickii	9	4	6	5	4	14	19	7	17	5	4	4	5	4	5	9
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus nematophila	16	7	8	13	12	16	12	17	26	9	5	13	4	12	6	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Xenorhabdus|s__Xenorhabdus poinarii	9	7	6	11	6	15	16	14	23	6	12	11	5	8	6	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae	2253	901	1015	1037	1178	1335	1623	1246	1496	1050	981	1284	745	1008	649	985
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Brenneria	258	125	121	129	161	139	190	135	193	151	128	176	88	134	87	135
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Brenneria|s__Brenneria goodwinii	114	47	64	38	55	53	69	59	79	55	56	62	33	45	47	47
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Brenneria|s__Brenneria sp. EniD312	142	76	55	91	101	81	111	72	106	93	69	111	54	87	39	85
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya	1148	434	515	529	574	689	826	624	704	499	438	609	379	509	298	477
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya chrysanthemi	80	41	50	53	55	96	90	73	75	49	67	66	46	45	25	65
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya dadantii	159	51	56	54	60	57	96	65	75	57	46	60	35	51	32	52
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya dianthicola	57	39	59	39	52	40	66	38	40	43	16	26	17	19	10	24
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya fangzhongdai	3	4	3	0.0	2	3	1	5	2	2	0.0	2	0.0	1	0.0	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya paradisiaca	130	43	66	70	55	77	91	52	73	56	50	73	41	83	32	38
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya solani	146	22	47	38	41	32	53	48	47	34	39	43	28	38	21	33
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. CSL RW240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. DW 0440	0.0	0.0	0.0	0.0	0.0	2	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. MK7	7	3	4	4	2	1	5	1	2	5	0.0	1	5	2	1	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. NCPPB 3274	65	6	17	29	10	17	18	19	22	10	14	20	11	18	13	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya sp. Secpp 1600	1	5	1	1	0.0	1	2	1	2	0.0	6	3	3	1	1	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Dickeya|s__Dickeya zeae	137	60	54	78	81	86	126	113	114	64	62	111	57	78	50	72
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Lonsdalea	100	41	59	25	52	47	64	58	55	42	48	72	31	67	35	58
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Lonsdalea|s__Lonsdalea britannica	100	41	59	25	52	47	64	58	55	42	48	72	31	67	35	58
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium	308	153	167	168	190	227	257	209	284	191	172	217	113	143	128	167
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium atrosepticum	40	19	10	18	15	25	22	14	15	20	23	25	13	11	11	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium carotovorum	114	51	57	54	65	75	88	80	127	72	58	74	37	58	50	63
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium parmentieri	28	16	22	15	11	26	17	17	26	19	19	24	13	15	14	15
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium polaris	31	17	15	33	41	29	42	34	48	21	16	28	16	16	8	18
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium wasabiae	26	16	10	20	22	27	20	15	21	13	8	10	5	10	14	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis	345	125	134	153	183	198	247	184	225	146	167	190	113	146	92	132
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis|s__Candidatus Sodalis pierantonius	73	11	20	5	20	13	26	12	17	22	19	21	15	16	4	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis|s__Sodalis endosymbiont of Henestaris halophilus	3	1	2	5	7	6	15	10	6	10	2	3	0.0	2	7	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis|s__Sodalis glossinidius	79	31	46	66	69	73	63	60	69	40	43	58	38	49	35	49
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Sodalis|s__Sodalis praecaptivus	63	56	33	28	49	53	69	44	48	34	43	60	32	41	21	33
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	3383	1369	1241	1550	1670	1952	2111	1598	1788	1591	1435	1832	994	1327	894	1343
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Candidatus Fukatsuia	20	5	0.0	5	15	16	18	22	16	6	4	4	7	3	12	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Candidatus Fukatsuia|s__Candidatus Fukatsuia symbiotica	20	5	0.0	5	15	16	18	22	16	6	4	4	7	3	12	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Chania	28	25	16	50	47	31	35	20	21	18	36	27	17	16	15	16
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Chania|s__Chania multitudinisentens	28	25	16	50	47	31	35	20	21	18	36	27	17	16	15	16
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella	306	87	88	109	92	128	130	122	127	108	108	142	56	73	62	102
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella aquatilis	90	23	19	37	31	50	40	33	44	29	27	36	17	18	22	29
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella sp. ERMR1:05	64	35	32	36	34	45	30	52	33	55	46	50	24	34	27	43
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella sp. Y9602	0.0	0.0	0.0	3	1	0.0	0.0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia	2612	1075	966	1148	1281	1395	1549	1162	1291	1099	1071	1428	796	1088	676	1058
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia ficaria	273	99	87	105	104	124	128	90	84	109	109	135	68	105	64	116
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia fonticola	170	72	75	77	100	101	121	105	108	81	77	79	45	66	52	70
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia liquefaciens	81	30	38	44	39	90	56	53	62	33	80	67	32	38	27	69
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia marcescens	493	205	185	233	279	283	317	213	219	197	181	244	133	159	128	190
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia plymuthica	154	55	51	53	79	85	95	72	96	83	61	99	58	56	43	59
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia proteamaculans	39	41	25	34	27	26	52	26	51	27	47	54	24	28	25	29
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia rubidaea	79	48	31	27	38	22	45	34	31	35	18	49	18	41	7	23
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. ATCC 39006	54	19	13	20	22	31	42	28	50	21	24	15	14	12	21	22
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. FGI94	55	18	9	20	24	27	14	14	28	14	28	22	9	19	13	20
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. FS14	2	4	1	1	3	8	3	4	6	13	1	4	3	1	2	6
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. JKS000199	1	1	1	1	3	1	0.0	2	0.0	2	0.0	4	0.0	0.0	0.0	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. MYb239	27	2	5	4	19	12	3	4	16	8	3	4	5	14	3	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. SCBI	3	0.0	0.0	0.0	2	1	1	2	5	4	4	4	1	4	1	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. SSNIH1	16	0.0	3	1	2	3	7	2	3	4	0.0	4	4	4	5	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia sp. YD25	51	16	26	23	33	24	29	29	30	27	12	36	21	26	13	25
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia	358	157	155	214	217	353	348	240	295	331	183	216	109	135	125	151
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia aldovae	12	13	3	17	22	24	13	8	13	10	12	21	12	10	12	14
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia aleksiciae	17	11	14	20	21	37	38	33	28	100	11	17	9	11	19	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia enterocolitica	102	41	28	38	29	36	58	43	56	34	16	42	23	35	16	28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia entomophaga	16	5	9	16	7	19	20	9	24	15	5	11	3	8	4	12
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia frederiksenii	19	5	8	12	12	20	9	13	13	11	13	14	4	7	7	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia intermedia	1	1	0.0	0.0	0.0	0.0	1	3	2	1	0.0	2	0.0	0.0	0.0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia kristensenii	1	0.0	0.0	0.0	2	2	3	3	3	8	1	1	1	0.0	0.0	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia massiliensis	14	1	2	0.0	2	7	2	2	4	7	1	2	0.0	4	1	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia pestis	39	3	7	9	2	0.0	3	3	4	0.0	1	6	5	4	2	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia pseudotuberculosis	31	11	7	7	12	15	17	12	10	14	9	10	5	5	12	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia rohdei	24	4	9	12	6	22	25	6	16	16	24	18	4	1	11	9
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia ruckeri	22	10	14	17	36	33	38	29	33	20	12	16	6	11	5	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Yersinia|s__Yersinia similis	5	4	3	8	5	17	14	7	8	12	10	6	7	4	6	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|g__Phytobacter	5	3	4	2	2	5	5	2	6	5	6	5	2	4	1	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|g__Phytobacter|s__Phytobacter sp. SCO41	5	3	4	2	2	5	5	2	6	5	6	5	2	4	1	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|g__Plesiomonas	73	16	25	45	77	67	97	59	67	47	40	38	16	19	18	36
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|g__Plesiomonas|s__Plesiomonas shigelloides	73	16	25	45	77	67	97	59	67	47	40	38	16	19	18	36
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	1782	475	738	907	1053	942	910	707	700	520	840	749	427	493	286	512
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae	1782	475	738	907	1053	942	910	707	700	520	840	749	427	493	286	512
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae|g__Immundisolibacter	1782	475	738	907	1053	942	910	707	700	520	840	749	427	493	286	512
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae|g__Immundisolibacter|s__Immundisolibacter cernigliae	1782	475	738	907	1053	942	910	707	700	520	840	749	427	493	286	512
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	750	374	369	302	357	481	524	408	475	246	235	332	236	216	135	173
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae	123	36	60	77	92	134	133	142	160	42	68	71	53	51	28	36
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella	70	32	47	55	47	95	97	82	96	36	51	64	45	46	23	32
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Candidatus Coxiella mudrowiae	8	0.0	1	1	2	2	3	3	4	0.0	2	2	1	0.0	0.0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Coxiella burnetii	50	25	38	36	31	60	64	56	69	27	28	55	34	40	19	28
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Coxiella endosymbiont of Amblyomma americanum	12	5	7	18	13	31	30	22	23	8	19	6	9	3	3	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|s__Coxiella-like endosymbiont	4	1	4	2	6	3	5	1	9	0.0	3	2	5	1	0.0	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	626	337	309	223	263	345	388	264	315	203	167	261	182	165	106	137
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Fluoribacter	10	14	13	14	5	11	16	12	16	3	3	14	6	7	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Fluoribacter|s__Fluoribacter dumoffii	10	14	13	14	5	11	16	12	16	3	3	14	6	7	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella	472	275	266	177	211	286	307	213	267	169	145	202	151	135	95	123
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella anisa	52	26	116	13	19	8	15	5	10	25	7	11	13	16	6	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella clemsonensis	5	4	6	5	9	22	33	19	16	5	1	11	6	7	1	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella endosymbiont of Polyplax serrata	7	4	8	7	6	8	5	2	7	10	6	5	5	0.0	1	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella fallonii	27	24	8	5	8	20	17	9	16	14	15	15	6	5	8	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella hackeliae	10	18	9	8	4	11	19	13	13	6	7	6	4	9	13	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella lansingensis	38	10	9	10	11	14	25	19	17	21	8	16	7	8	11	11
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella longbeachae	25	25	13	6	8	16	9	12	12	6	5	6	12	6	4	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae|g__Legionella|s__Legionella oakridgensis	24	9	16	13	15	15	28	15	18	4	1	22	8	2	6	7
